date, rr, since start
2015-09-12 21:36:32 +0000, 553, 380577
2015-09-12 21:36:33 +0000, 542, 381119
2015-09-12 21:36:33 +0000, 538, 381657
2015-09-12 21:36:34 +0000, 536, 382193
2015-09-12 21:36:34 +0000, 536, 382729
2015-09-12 21:36:35 +0000, 538, 383267
2015-09-12 21:36:36 +0000, 538, 383805
2015-09-12 21:36:36 +0000, 541, 384346
2015-09-12 21:36:37 +0000, 539, 384885
2015-09-12 21:36:37 +0000, 532, 385417
2015-09-12 21:36:38 +0000, 532, 385949
2015-09-12 21:36:38 +0000, 521, 386470
2015-09-12 21:36:39 +0000, 535, 387005
2015-09-12 21:36:39 +0000, 531, 387536
2015-09-12 21:36:40 +0000, 527, 388063
2015-09-12 21:36:40 +0000, 523, 388586
2015-09-12 21:36:41 +0000, 518, 389104
2015-09-12 21:36:41 +0000, 516, 389620
2015-09-12 21:36:42 +0000, 517, 390137
2015-09-12 21:36:42 +0000, 515, 390652
2015-09-12 21:36:43 +0000, 512, 391164
2015-09-12 21:36:43 +0000, 521, 391685
2015-09-12 21:36:44 +0000, 523, 392208
2015-09-12 21:36:44 +0000, 530, 392738
2015-09-12 21:36:46 +0000, 540, 393278
2015-09-12 21:36:46 +0000, 549, 393827
2015-09-12 21:36:46 +0000, 552, 394379
2015-09-12 21:36:47 +0000, 552, 394931
2015-09-12 21:36:47 +0000, 558, 395489
2015-09-12 21:36:48 +0000, 559, 396048
2015-09-12 21:36:48 +0000, 551, 396599
2015-09-12 21:36:50 +0000, 556, 397155
2015-09-12 21:36:50 +0000, 549, 397704
2015-09-12 21:36:50 +0000, 551, 398255
2015-09-12 21:36:51 +0000, 565, 398820
2015-09-12 21:36:51 +0000, 604, 399424
2015-09-12 21:36:52 +0000, 636, 400060
2015-09-12 21:36:52 +0000, 619, 400679
2015-09-12 21:36:53 +0000, 625, 401304
2015-09-12 21:36:54 +0000, 665, 401969
2015-09-12 21:36:54 +0000, 649, 402618
2015-09-12 21:36:55 +0000, 612, 403230
2015-09-12 21:36:56 +0000, 627, 403857
2015-09-12 21:36:56 +0000, 658, 404515
2015-09-12 21:36:57 +0000, 690, 405205
2015-09-12 21:36:58 +0000, 679, 405884
2015-09-12 21:36:58 +0000, 806, 406690
2015-09-12 21:36:59 +0000, 896, 407586
2015-09-12 21:37:00 +0000, 845, 408431
2015-09-12 21:37:01 +0000, 829, 409260
2015-09-12 21:37:02 +0000, 856, 410116
2015-09-12 21:37:03 +0000, 799, 410915
2015-09-12 21:37:03 +0000, 803, 411718
2015-09-12 21:37:04 +0000, 883, 412601
2015-09-12 21:37:05 +0000, 766, 413367
2015-09-12 21:37:06 +0000, 668, 414035
2015-09-12 21:37:06 +0000, 658, 414693
